i = 1, pred = 0.8584399819374084d0, var = 0.0d0
i = 224.59772, pred = 0.9444934130121762d0, var = 1.708108649871529d-5
i = 224.79771, pred = 0.9438750916238613d0, var = 1.7020543973205547d-5
i = 224.99771, pred = 0.9431562833857876d0, var = 1.6976011806449117d-5
i = 225.19771, pred = 0.9423445756507856d0, var = 1.6944250325661667d-5
i = 225.3977, pred = 0.9414526973634448d0, var = 1.692239166147602d-5
i = 225.5977, pred = 0.9404987320862089d0, var = 1.6908233226343353d-5
i = 225.7977, pred = 0.9395056810469657d0, var = 1.6900283250570393d-5
i = 225.9977, pred = 0.9385006141297126d0, var = 1.6897711380727147d-5
i = 226.1977, pred = 0.9375136274746164d0, var = 1.6900258660272326d-5
i = 226.39769, pred = 0.9365758871340125d0, var = 1.6908199060264818d-5
i = 226.59769, pred = 0.9357175811727082d0, var = 1.6922374279249654d-5
i = 226.79768, pred = 0.9349657408388009d0, var = 1.6944272546387432d-5
i = 226.99768, pred = 0.9343424369330718d0, var = 1.697609545867505d-5
i = 227.19768, pred = 0.9338629835401714d0, var = 1.7020684850925583d-5
i = 227.39767, pred = 0.9335353073626365d0, var = 1.7081261129995504d-5
i = 227.59767, pred = 0.9333598935097854d0, var = 1.716087007061121d-5
i = 227.79767, pred = 0.9333305222898363d0, var = 1.7261582061725278d-5
i = 227.99767, pred = 0.9334354829021727d0, var = 1.7383535857276516d-5
i = 228.19766, pred = 0.9336591757499381d0, var = 1.7524037381343647d-5
i = 228.39766, pred = 0.9339836780942958d0, var = 1.767702862667381d-5
i = 228.59766, pred = 0.9343902918459399d0, var = 1.783314539242889d-5
i = 228.79765, pred = 0.9348606567140275d0, var = 1.7980513945159597d-5
i = 228.99765, pred = 0.9353774880046544d0, var = 1.810620736967704d-5
i = 229.19765, pred = 0.9359251638548797d0, var = 1.819810865604058d-5
i = 229.39764, pred = 0.936489850610118d0, var = 1.8246805333900723d-5
i = 229.59764, pred = 0.937059702462421d0, var = 1.824713066307136d-5
i = 229.79764, pred = 0.9376248189002702d0, var = 1.8199027762275758d-5
i = 229.99763, pred = 0.9381770238422319d0, var = 1.8107546307888695d-5
i = 230.19763, pred = 0.9387102124954567d0, var = 1.7982026508333033d-5
i = 230.39763, pred = 0.9392199144016297d0, var = 1.783454522186256d-5
i = 230.59763, pred = 0.939703638333486d0, var = 1.7678054493796874d-5
i = 230.79762, pred = 0.9401608039948812d0, var = 1.752448650606317d-5
i = 230.99762, pred = 0.9405925539718205d0, var = 1.7383301024920942d-5
i = 231.19762, pred = 0.9410017394329999d0, var = 1.7260666963940627d-5
i = 231.39761, pred = 0.9413927413262735d0, var = 1.7159377405227183d-5
i = 231.59761, pred = 0.9417711615697016d0, var = 1.7079379373340546d-5
i = 231.7976, pred = 0.9421431710833695d0, var = 1.7018655555497014d-5
i = 231.9976, pred = 0.9425153236807486d0, var = 1.697418369151536d-5
i = 232.1976, pred = 0.9428937150999679d0, var = 1.694273971158076d-5
i = 232.3976, pred = 0.9432838314347357d0, var = 1.6921454437388744d-5
i = 232.5976, pred = 0.9436898891480264d0, var = 1.6908080221106198d-5
i = 232.79759, pred = 0.9441144834768865d0, var = 1.6901068762922625d-5
i = 232.99759, pred = 0.9445584658728395d0, var = 1.6899514712340233d-5
i = 233.19759, pred = 0.9450207514591832d0, var = 1.6903074241935947d-5
i = 233.39758, pred = 0.945498392300753d0, var = 1.6911946068338312d-5
i = 233.59758, pred = 0.9459866970609156d0, var = 1.692690764749282d-5
i = 233.79758, pred = 0.9464794721654847d0, var = 1.6949419108918855d-5
i = 233.99757, pred = 0.9469694162241333d0, var = 1.6981688417861754d-5
i = 234.19757, pred = 0.9474484061082701d0, var = 1.7026618244723106d-5
i = 234.39757, pred = 0.9479081217051317d0, var = 1.7087533279681113d-5
i = 234.59756, pred = 0.948340394985921d0, var = 1.7167635540059063d-5
i = 234.79756, pred = 0.9487375336442933d0, var = 1.726917856497537d-5
i = 234.99756, pred = 0.9490929184992416d0, var = 1.7392490194743106d-5
i = 235.19756, pred = 0.9494009167730462d0, var = 1.753505993613917d-5
i = 235.39755, pred = 0.9496573100280916d0, var = 1.769095954078229d-5
i = 235.59755, pred = 0.9498589370840319d0, var = 1.7850877336743636d-5
i = 235.79755, pred = 0.9500040799350348d0, var = 1.800289510298718d-5
i = 235.99754, pred = 0.9500915667208061d0, var = 1.8133920147856883d-5
i = 236.19754, pred = 0.9501213419495098d0, var = 1.8231557772857417d-5
i = 236.39754, pred = 0.9500937946934197d0, var = 1.828601268198045d-5
i = 236.59753, pred = 0.950009822217425d0, var = 1.8291666957779063d-5
i = 236.79753, pred = 0.9498709031406329d0, var = 1.824798446135374d-5
i = 236.99753, pred = 0.9496791438558237d0, var = 1.815958278746792d-5
i = 237.19753, pred = 0.9494376129259547d0, var = 1.8035446927049537d-5
i = 237.39752, pred = 0.9491504759243514d0, var = 1.788745810499477d-5
i = 237.59752, pred = 0.9488236006206472d0, var = 1.772854065657643d-5
i = 237.79752, pred = 0.9484644002174558d0, var = 1.7570820001281923d-5
i = 237.99751, pred = 0.9480822371006584d0, var = 1.7424147434744265d-5
i = 238.19751, pred = 0.9476882570619094d0, var = 1.7295256121445422d-5
i = 238.3975, pred = 0.9472946421752195d0, var = 1.7187629730776744d-5
i = 238.5975, pred = 0.9469144243320282d0, var = 1.710197626366234d-5
i = 238.7975, pred = 0.9465603886532322d0, var = 1.7037042004578607d-5
i = 238.9975, pred = 0.9462442749919422d0, var = 1.6990506800997925d-5
i = 239.1975, pred = 0.9459760995955797d0, var = 1.695973945952982d-5
i = 239.39749, pred = 0.9457630830466252d0, var = 1.6942312186757803d-5
i = 239.59749, pred = 0.9456097045123711d0, var = 1.6936257785533485d-5
i = 239.79749, pred = 0.9455174205363134d0, var = 1.6940133881100115d-5
i = 239.99748, pred = 0.9454847420632218d0, var = 1.695298714498073d-5
i = 240.19748, pred = 0.9455078561823069d0, var = 1.697430636222222d-5
i = 240.39748, pred = 0.9455809402123629d0, var = 1.700406096598876d-5
i = 240.59747, pred = 0.9456970121745781d0, var = 1.7042823555611917d-5
i = 240.79747, pred = 0.9458486024398626d0, var = 1.7091986728412187d-5
i = 240.99747, pred = 0.9460280478417429d0, var = 1.7153973629600886d-5
i = 241.19746, pred = 0.9462283734354898d0, var = 1.7232351816342105d-5
i = 241.39746, pred = 0.9464432537356111d0, var = 1.7331709732129028d-5
i = 241.59746, pred = 0.9466674043785519d0, var = 1.7457214195193194d-5
i = 241.79745, pred = 0.9468964897958535d0, var = 1.7613776483945683d-5
i = 241.99745, pred = 0.947127016163011d0, var = 1.7804921961919584d-5
i = 242.19745, pred = 0.9473562161763035d0, var = 1.8031516244812412d-5
i = 242.39745, pred = 0.947581939690347d0, var = 1.8290647633305792d-5
i = 242.59744, pred = 0.9478022301016715d0, var = 1.8574988108446453d-5
i = 242.79744, pred = 0.9480155124593143d0, var = 1.8872818598523044d-5
i = 242.99744, pred = 0.9482202204090959d0, var = 1.9168808031744735d-5
i = 243.19743, pred = 0.9484147998987961d0, var = 1.9445432090351452d-5
i = 243.39743, pred = 0.9485979243408519d0, var = 1.9684772292644688d-5
i = 243.59743, pred = 0.9487679705067877d0, var = 1.9870434400452968d-5
i = 243.79742, pred = 0.9489235310787061d0, var = 1.9989303499095726d-5
i = 243.99742, pred = 0.9490632527674923d0, var = 2.0032930057389055d-5
i = 244.19742, pred = 0.9491857316425234d0, var = 1.9998409988658197d-5
i = 244.39742, pred = 0.9492898418296728d0, var = 1.9888682169380625d-5
i = 244.59741, pred = 0.9493746641948938d0, var = 1.9712250906176522d-5
i = 244.79741, pred = 0.9494395963338893d0, var = 1.9482304652308576d-5
i = 244.9974, pred = 0.9494845560550006d0, var = 1.9215339836756912d-5
i = 245.1974, pred = 0.9495101066599821d0, var = 1.8929408592938815d-5
i = 245.3974, pred = 0.9495174867261228d0, var = 1.8642204387279825d-5
i = 245.5974, pred = 0.949508967268498d0, var = 1.83692289436778d-5
i = 245.7974, pred = 0.9494876748331247d0, var = 1.812235952214901d-5
i = 245.99739, pred = 0.9494576021775961d0, var = 1.790902853843777d-5
i = 246.19739, pred = 0.9494235138344411d0, var = 1.7732158908321037d-5
i = 246.39738, pred = 0.9493905472017884d0, var = 1.759077775662269d-5
i = 246.59738, pred = 0.9493639794147426d0, var = 1.7481120058857296d-5
i = 246.79738, pred = 0.9493485746669927d0, var = 1.7397928038837804d-5
i = 246.99738, pred = 0.94934841368618d0, var = 1.7335672474432963d-5
i = 247.19737, pred = 0.9493663539127906d0, var = 1.72894914198865d-5
i = 247.39737, pred = 0.9494039591947399d0, var = 1.725583712073699d-5
i = 247.59737, pred = 0.9494614771399341d0, var = 1.7232793091445707d-5
i = 247.79736, pred = 0.949538052324058d0, var = 1.7220149685677716d-5
i = 247.99736, pred = 0.9496319327408841d0, var = 1.7219271176744785d-5
i = 248.19736, pred = 0.9497409080977582d0, var = 1.7232769553630296d-5
i = 248.39735, pred = 0.9498626055495091d0, var = 1.726397985631146d-5
i = 248.59735, pred = 0.9499949305260125d0, var = 1.7316200998527435d-5
i = 248.79735, pred = 0.9501361719153663d0, var = 1.739176318620088d-5
i = 248.99734, pred = 0.9502853297257878d0, var = 1.7490994507138462d-5
i = 249.19734, pred = 0.9504421202939467d0, var = 1.7611301337131556d-5
i = 249.39734, pred = 0.9506069760994137d0, var = 1.7746627145208692d-5
i = 249.59734, pred = 0.9507811607105717d0, var = 1.7887540664216837d-5
i = 249.79733, pred = 0.9509668398550527d0, var = 1.8022046440640807d-5
i = 249.99733, pred = 0.9511667910801821d0, var = 1.8137056500066377d-5
i = 250.19733, pred = 0.9513847177859024d0, var = 1.822026998383629d-5
i = 250.39732, pred = 0.9516248416197628d0, var = 1.826207882651549d-5
i = 250.59732, pred = 0.9518920781696536d0, var = 1.825711326972853d-5
i = 250.79732, pred = 0.9521917151069302d0, var = 1.8205104011758834d-5
i = 250.99731, pred = 0.9525292796214794d0, var = 1.8110900518872688d-5
i = 251.19731, pred = 0.9529102405802801d0, var = 1.798363468773824d-5
i = 251.39731, pred = 0.9533397119411978d0, var = 1.7835196602154015d-5
i = 251.5973, pred = 0.9538220154694349d0, var = 1.7678339949927308d-5
i = 251.7973, pred = 0.9543602982362218d0, var = 1.7524830863865522d-5
i = 251.9973, pred = 0.9549562228687085d0, var = 1.7383967305963033d-5
i = 252.1973, pred = 0.9556094814083542d0, var = 1.726177202152435d-5
i = 252.3973, pred = 0.9563177349886645d0, var = 1.716091389892071d-5
i = 252.59729, pred = 0.9570761787766259d0, var = 1.7081238362551127d-5
i = 252.79729, pred = 0.9578778983290693d0, var = 1.7020650300469747d-5
i = 252.99728, pred = 0.9587138101766522d0, var = 1.6976073941111624d-5
i = 253.19728, pred = 0.9595729834289026d0, var = 1.694426449394362d-5
i = 253.39728, pred = 0.9604432761245107d0, var = 1.692235657720681d-5
i = 253.59727, pred = 0.9613117968399371d0, var = 1.690814226986669d-5
i = 253.79727, pred = 0.9621656235200036d0, var = 1.6900127722658646d-5
i = 253.99727, pred = 0.9629925366744503d0, var = 1.6897479722960064d-5
i = 254.19727, pred = 0.9637815071281606d0, var = 1.6899939007711524d-5
i = 254.39726, pred = 0.9645234590978463d0, var = 1.6907777536307508d-5
i = 254.59726, pred = 0.965211368404176d0, var = 1.6921835929533425d-5
i = 254.79726, pred = 0.965840807359048d0, var = 1.6943604250620297d-5
i = 254.99725, pred = 0.9664097421432474d0, var = 1.6975281037022975d-5
i = 255.19725, pred = 0.9669184731476405d0, var = 1.7019709815769355d-5
i = 255.39725, pred = 0.9673695717471933d0, var = 1.708011321919656d-5
i = 255.59724, pred = 0.9677674131386851d0, var = 1.7159544363756328d-5
i = 255.79724, pred = 0.9681178082955046d0, var = 1.726007908824747d-5
i = 255.99724, pred = 0.9684277336377445d0, var = 1.7381867353251787d-5
i = 256.19724, pred = 0.9687049620783014d0, var = 1.7522228411197175d-5
i = 256.39725, pred = 0.9689578087139975d0, var = 1.7675127447943037d-5
i = 256.59726, pred = 0.9691949328671526d0, var = 1.78312040771404d-5
i = 256.79727, pred = 0.9694253690329377d0, var = 1.7978591115422347d-5
i = 256.99728, pred = 0.9696583865707661d0, var = 1.8104362992148365d-5
i = 257.1973, pred = 0.9699036164611238d0, var = 1.8196401777177605d-5
i = 257.3973, pred = 0.970170985771414d0, var = 1.8245289239835163d-5
i = 257.59732, pred = 0.9704710509797888d0, var = 1.8245845580157542d-5
i = 257.79733, pred = 0.9708144450344919d0, var = 1.819799702685837d-5
i = 257.99734, pred = 0.9712123299971719d0, var = 1.810678742437736d-5
i = 258.19736, pred = 0.9716757531595605d0, var = 1.798152978419455d-5
i = 258.39737, pred = 0.9722155585122787d0, var = 1.7834286913436046d-5
i = 258.59738, pred = 0.9728416822710957d0, var = 1.767798860343108d-5
i = 258.7974, pred = 0.9735627903280496d0, var = 1.7524544083266203d-5
i = 258.9974, pred = 0.9743854309723352d0, var = 1.7383388656575594d-5
i = 259.19742, pred = 0.9753133757183101d0, var = 1.7260667704956644d-5
i = 259.39743, pred = 0.9763470745308119d0, var = 1.7159149236040493d-5
i = 259.59744, pred = 0.9774828904064535d0, var = 1.70787595233656d-5
i = 259.79745, pred = 0.9787128085961287d0, var = 1.70174731607452d-5
i = 259.99747, pred = 0.9800244865257809d0, var = 1.6972264017128546d-5
i = 260.19748, pred = 0.9814013434905373d0, var = 1.6939921878776704d-5
i = 260.3975, pred = 0.9828232589950281d0, var = 1.6917607008519767d-5
i = 260.5975, pred = 0.9842675184602737d0, var = 1.6903120147331775d-5
i = 260.79752, pred = 0.985710103021797d0, var = 1.689497214840619d-5
i = 260.99753, pred = 0.9871269992648658d0, var = 1.6892326323124213d-5
i = 261.19754, pred = 0.9884954790178404d0, var = 1.689491055994283d-5
i = 261.39755, pred = 0.9897956995694375d0, var = 1.6902984316235712d-5
i = 261.59756, pred = 0.991011164375713d0, var = 1.691737066564011d-5
i = 261.79758, pred = 0.9921296500456508d0, var = 1.6939541468840344d-5
i = 261.9976, pred = 0.9931435202474589d0, var = 1.6971677302852557d-5
i = 262.1976, pred = 0.9940492334933553d0, var = 1.7016605546525325d-5
i = 262.3976, pred = 0.9948473225280471d0, var = 1.7077531781496814d-5
i = 262.59763, pred = 0.995541572170002d0, var = 1.715749090304146d-5
i = 262.79764, pred = 0.9961379776333111d0, var = 1.7258545849888157d-5
i = 262.99765, pred = 0.9966441424210856d0, var = 1.7380823575227492d-5
i = 263.19766, pred = 0.9970683658272737d0, var = 1.7521631290164292d-5
i = 263.39767, pred = 0.9974188506189374d0, var = 1.76749077692482d-5
i = 263.5977, pred = 0.9977033172212977d0, var = 1.7831284758697083d-5
i = 263.7977, pred = 0.9979286134003366d0, var = 1.797889168240478d-5
i = 263.9977, pred = 0.998100605832418d0, var = 1.8104799979775736d-5
i = 264.19772, pred = 0.9982242470467498d0, var = 1.8196898702570604d-5
i = 264.39774, pred = 0.9983036931143506d0, var = 1.8245775127047755d-5
i = 264.59775, pred = 0.9983424969263742d0, var = 1.8246269260953826d-5
i = 264.79776, pred = 0.9983440212622205d0, var = 1.819831987603399d-5
i = 264.99777, pred = 0.9983116053294998d0, var = 1.810698595517346d-5
i = 265.19778, pred = 0.998248880775249d0, var = 1.798160101406622d-5
i = 265.3978, pred = 0.9981601533513056d0, var = 1.783423806209665d-5
i = 265.5978, pred = 0.9980504707594133d0, var = 1.767783508319086d-5
i = 265.79782, pred = 0.9979259934575313d0, var = 1.752431045295852d-5
i = 265.99783, pred = 0.9977937131142207d0, var = 1.7383105190200235d-5
i = 266.19785, pred = 0.9976616341197571d0, var = 1.72603664876496d-5
i = 266.39786, pred = 0.9975382634456914d0, var = 1.7158870217219482d-5
i = 266.59787, pred = 0.9974324428765445d0, var = 1.7078548462929907d-5
i = 266.79788, pred = 0.9973525971084891d0, var = 1.7017381203965614d-5
i = 266.9979, pred = 0.9973065143372103d0, var = 1.6972355395308305d-5
i = 267.1979, pred = 0.9973007617543111d0, var = 1.6940271759902207d-5
i = 267.39792, pred = 0.9973403245926216d0, var = 1.6918298011554568d-5
i = 267.59793, pred = 0.9974284858850013d0, var = 1.6904243733914744d-5
i = 267.79794, pred = 0.9975667865756765d0, var = 1.689662640964808d-5
i = 267.99796, pred = 0.9977549867106348d0, var = 1.6894608645591925d-5
i = 268.19797, pred = 0.9979914118654504d0, var = 1.689792050700849d-5
i = 268.39798, pred = 0.9982729517034163d0, var = 1.690681399785888d-5
i = 268.598, pred = 0.9985953995893618d0, var = 1.692210299330682d-5
i = 268.798, pred = 0.9989535223934798d0, var = 1.6945247940263052d-5
i = 268.99802, pred = 0.9993413500961948d0, var = 1.697841024165384d-5
i = 269.19803, pred = 0.9997522727602384d0, var = 1.7024396000198414d-5
i = 269.39804, pred = 1.0001793121728602d0, var = 1.708638234154986d-5
i = 269.59805, pred = 1.0006153751831566d0, var = 1.7167372148902356d-5
i = 269.79807, pred = 1.001053493337864d0, var = 1.7269389263649753d-5
i = 269.99808, pred = 1.00148706317389d0, var = 1.7392525247895795d-5
i = 270.1981, pred = 1.0019100278463682d0, var = 1.7534036533804318d-5
i = 270.3981, pred = 1.0023170619371593d0, var = 1.7687819846175962d-5
i = 270.5981, pred = 1.0027036338853748d0, var = 1.7844468957786507d-5
i = 270.79813, pred = 1.003066049411642d0, var = 1.799207820055749d-5
i = 270.99814, pred = 1.0034012484744088d0, var = 1.8117702004787308d-5
i = 271.19815, pred = 1.0037067569044278d0, var = 1.820920985514067d-5
i = 271.39816, pred = 1.0039807134665186d0, var = 1.825720180469371d-5
i = 271.59818, pred = 1.0042216277997174d0, var = 1.8256538342557025d-5
i = 271.7982, pred = 1.004428409483556d0, var = 1.8207201776079356d-5
i = 271.9982, pred = 1.0046004928984762d0, var = 1.811430684847615d-5
i = 272.1982, pred = 1.0047377615485893d0, var = 1.7987258968877046d-5
i = 272.39822, pred = 1.0048409442483905d0, var = 1.783823666785398d-5
i = 272.59824, pred = 1.0049115365189296d0, var = 1.7680283349644854d-5
i = 272.79825, pred = 1.004952214731014d0, var = 1.752545291305295d-5
i = 272.99826, pred = 1.0049666811190139d0, var = 1.738334049529487d-5
i = 273.19827, pred = 1.0049600428526735d0, var = 1.7260265777209757d-5
i = 273.3983, pred = 1.0049384092814106d0, var = 1.7159202070513198d-5
i = 273.5983, pred = 1.0049089620616296d0, var = 1.7080297094234704d-5
i = 273.7983, pred = 1.0048795069156473d0, var = 1.7021756924576062d-5
i = 273.99832, pred = 1.0048583684860444d0, var = 1.6980805335537163d-5
i = 274.19833, pred = 1.0048538913746d0, var = 1.695447454746665d-5
i = 274.39835, pred = 1.0048741397759278d0, var = 1.69401490284271d-5
i = 274.59836, pred = 1.0049265642868737d0, var = 1.693582259594146d-5
i = 274.79837, pred = 1.0050179734928069d0, var = 1.69401544086938d-5
i = 274.99838, pred = 1.005153862923608d0, var = 1.6952395947279107d-5
i = 275.1984, pred = 1.0053385266163295d0, var = 1.6972313132014478d-5
i = 275.3984, pred = 1.005574626584652d0, var = 1.700018105364266d-5
i = 275.59842, pred = 1.0058628393850955d0, var = 1.7036869639494007d-5
i = 275.79843, pred = 1.0062020423877232d0, var = 1.708403983441071d-5
i = 275.99844, pred = 1.006588732626244d0, var = 1.7144323853397408d-5
i = 276.19846, pred = 1.007017561199417d0, var = 1.7221433926467637d-5
i = 276.39847, pred = 1.0074812770544197d0, var = 1.7320040438113206d-5
i = 276.59848, pred = 1.0079713745631909d0, var = 1.7445325891190654d-5
i = 276.7985, pred = 1.008478616322597d0, var = 1.7602171752300948d-5
i = 276.9985, pred = 1.0089937371876285d0, var = 1.7794026161687426d-5
i = 277.19852, pred = 1.0095080083463788d0, var = 1.8021653947020025d-5
i = 277.39853, pred = 1.010014034335741d0, var = 1.8282027611582124d-5
i = 277.59854, pred = 1.0105057509801751d0, var = 1.8567704028131803d-5
i = 277.79855, pred = 1.0109789864926053d0, var = 1.88668553650149d-5
i = 277.99857, pred = 1.0114313072384655d0, var = 1.9164061983052247d-5
i = 278.19858, pred = 1.0118619540147429d0, var = 1.94417304036715d-5
i = 278.3986, pred = 1.0122716466004436d0, var = 1.9681910124297602d-5
i = 278.5986, pred = 1.0126622863589751d0, var = 1.9868187820966364d-5
i = 278.7986, pred = 1.0130369363731644d0, var = 1.998745651410894d-5
i = 278.99863, pred = 1.0133992270242533d0, var = 2.0031297334986268d-5
i = 279.19864, pred = 1.0137534179098202d0, var = 1.9996837025144775d-5
i = 279.39865, pred = 1.0141042529814583d0, var = 1.988707373471321d-5
i = 279.59866, pred = 1.014456712684723d0, var = 1.9710550886978442d-5
i = 279.79868, pred = 1.0148159659415221d0, var = 1.948050255548289d-5
i = 279.9987, pred = 1.015187235632369d0, var = 1.921346687409529d-5
i = 280.1987, pred = 1.015575488999006d0, var = 1.8927516390221586d-5
i = 280.3987, pred = 1.015985673737473d0, var = 1.864035409267783d-5
i = 280.59872, pred = 1.0164221832111981d0, var = 1.8367482513153248d-5
i = 280.79874, pred = 1.0168886424179329d0, var = 1.8120763777327536d-5
i = 280.99875, pred = 1.0173879146454978d0, var = 1.79076141649577d-5
i = 281.19876, pred = 1.0179217229746218d0, var = 1.7730932416795573d-5
i = 281.39877, pred = 1.0184900249598003d0, var = 1.7589728383454992d-5
i = 281.5988, pred = 1.0190914213348579d0, var = 1.7480227982410835d-5
i = 281.7988, pred = 1.0197224502822693d0, var = 1.7397169300471086d-5
i = 281.9988, pred = 1.0203776738903363d0, var = 1.7335018924911147d-5
i = 282.19882, pred = 1.021050270851808d0, var = 1.7288926388328795d-5
i = 282.39883, pred = 1.0217313515068025d0, var = 1.7255352656291366d-5
i = 282.59885, pred = 1.022411348379007d0, var = 1.7232390708611332d-5
i = 282.79886, pred = 1.0230800189479279d0, var = 1.7219842293291794d-5
i = 282.99887, pred = 1.0237271566181012d0, var = 1.7219079659315828d-5
i = 283.19888, pred = 1.0243431905401412d0, var = 1.723272550861612d-5
i = 283.3989, pred = 1.0249197238019139d0, var = 1.7264110768404817d-5
i = 283.5989, pred = 1.0254498221735842d0, var = 1.731653661196471d-5
i = 283.79892, pred = 1.0259280639911637d0, var = 1.7392316982151806d-5
i = 283.99893, pred = 1.026350890107812d0, var = 1.7491761533397522d-5
i = 284.19894, pred = 1.0267161488732859d0, var = 1.761224627573222d-5
i = 284.39896, pred = 1.0270230875987392d0, var = 1.7747690967719803d-5
i = 284.59897, pred = 1.0272721494765866d0, var = 1.788863078401054d-5
i = 284.79898, pred = 1.0274643811453552d0, var = 1.8023055866824327d-5
i = 284.999, pred = 1.027601545795134d0, var = 1.8137870244629603d-5
i = 285.199, pred = 1.0276857486342414d0, var = 1.822078757509191d-5
i = 285.39902, pred = 1.0277193354024758d0, var = 1.8262227038318625d-5
i = 285.59903, pred = 1.0277051103923118d0, var = 1.825685992478324d-5
i = 285.79904, pred = 1.0276460669405572d0, var = 1.820445955097297d-5
i = 285.99905, pred = 1.0275462600430825d0, var = 1.810992072734147d-5
i = 286.19907, pred = 1.0274105638396462d0, var = 1.7982407742445014d-5
i = 286.39908, pred = 1.027245269641664d0, var = 1.7833827566499483d-5
i = 286.5991, pred = 1.0270583443192156d0, var = 1.7676940259137905d-5
i = 286.7991, pred = 1.0268596042461766d0, var = 1.752349454931091d-5
i = 286.9991, pred = 1.0266605387511718d0, var = 1.7382765828333143d-5
i = 287.19913, pred = 1.026473674800122d0, var = 1.7260747328092843d-5
i = 287.39914, pred = 1.026312264017017d0, var = 1.7160080100607315d-5
i = 287.59915, pred = 1.0261887970059018d0, var = 1.7080585443136843d-5
i = 287.79916, pred = 1.026114045858648d0, var = 1.7020156399578665d-5
i = 287.99918, pred = 1.0260960073517793d0, var = 1.6975710956789737d-5
i = 288.1992, pred = 1.0261387693612434d0, var = 1.694400642338607d-5
i = 288.3992, pred = 1.0262422168707475d0, var = 1.6922178822738164d-5
i = 288.5992, pred = 1.02640202338463d0, var = 1.6908029038311193d-5
i = 288.79922, pred = 1.026609839854902d0, var = 1.6900067496275432d-5
i = 288.99924, pred = 1.026854342470894d0, var = 1.6897470662853747d-5
i = 289.19925, pred = 1.0271222327737408d0, var = 1.6899981321814816d-5
i = 289.39926, pred = 1.0273991970717307d0, var = 1.6907879444865076d-5
i = 289.59927, pred = 1.0276711276396149d0, var = 1.6922007720370487d-5
i = 289.7993, pred = 1.0279247118232464d0, var = 1.694386756415089d-5
i = 289.9993, pred = 1.0281484542311818d0, var = 1.6975660350571915d-5
i = 290.1993, pred = 1.0283329461661728d0, var = 1.7020241545249927d-5
i = 290.39932, pred = 1.0284710567664688d0, var = 1.7080831651756747d-5
i = 290.59933, pred = 1.0285582852524138d0, var = 1.716048084247998d-5
i = 290.79935, pred = 1.028592488357739d0, var = 1.7261251693527046d-5
i = 290.99936, pred = 1.0285740881449459d0, var = 1.738326441886224d-5
i = 291.19937, pred = 1.0285055494803415d0, var = 1.7523808388139514d-5
i = 291.39938, pred = 1.0283916648467057d0, var = 1.7676798042499385d-5
i = 291.5994, pred = 1.0282387833618825d0, var = 1.7832848334560292d-5
i = 291.7994, pred = 1.0280549531853846d0, var = 1.798007206136734d-5
i = 291.99942, pred = 1.0278494880097417d0, var = 1.810554512052887d-5
i = 292.19943, pred = 1.0276326533198081d0, var = 1.8197166821447385d-5
i = 292.39944, pred = 1.027415394226307d0, var = 1.8245556206317588d-5
i = 292.59946, pred = 1.0272089920822698d0, var = 1.8245585640139372d-5
i = 292.79947, pred = 1.0270246141939101d0, var = 1.8197240965972008d-5
i = 292.99948, pred = 1.0268729984349263d0, var = 1.8105611597059987d-5
i = 293.1995, pred = 1.0267639161474715d0, var = 1.7980052065885427d-5
i = 293.3995, pred = 1.0267058339554864d0, var = 1.7832644876594163d-5
i = 293.59952, pred = 1.0267053809395759d0, var = 1.7676316213263563d-5
i = 293.79953, pred = 1.026767207694753d0, var = 1.7522956871875422d-5
i = 293.99954, pred = 1.0268935978407594d0, var = 1.7381973417973758d-5
i = 294.19955, pred = 1.0270846821416928d0, var = 1.7259468615101915d-5
i = 294.39957, pred = 1.0273386998128264d0, var = 1.7158181494086728d-5
i = 294.59958, pred = 1.0276522993394688d0, var = 1.7078010146697286d-5
i = 294.7996, pred = 1.0280211859506379d0, var = 1.7016912630117756d-5
i = 294.9996, pred = 1.0284407220461824d0, var = 1.697185638062386d-5
i = 295.19962, pred = 1.0289063582553108d0, var = 1.6939636324266758d-5
i = 295.39963, pred = 1.0294139104721707d0, var = 1.6917415610856437d-5
i = 295.59964, pred = 1.0299597297407077d0, var = 1.6903002012053383d-5
i = 295.79965, pred = 1.0305404226326793d0, var = 1.6894915870019745d-5
i = 295.99966, pred = 1.0311528299868558d0, var = 1.6892326301224244d-5
i = 296.19968, pred = 1.0317933769934762d0, var = 1.6894967627059483d-5
i = 296.3997, pred = 1.0324582462160201d0, var = 1.6903104185835686d-5
i = 296.5997, pred = 1.0331429341370926d0, var = 1.691756470461955d-5
i = 296.7997, pred = 1.0338425140813237d0, var = 1.693982858076771d-5
i = 296.99973, pred = 1.0345516384480766d0, var = 1.697208478126059d-5
i = 297.19974, pred = 1.0352650103693337d0, var = 1.7017167121030058d-5
i = 297.39975, pred = 1.0359773833006416d0, var = 1.707828110977891d-5
i = 297.59976, pred = 1.0366843326264181d0, var = 1.7158458233286484d-5
i = 297.79977, pred = 1.0373819811280622d0, var = 1.7259742106778178d-5
i = 297.9998, pred = 1.0380675737047818d0, var = 1.7382238697652234d-5
i = 298.1998, pred = 1.0387393800022808d0, var = 1.7523218859301983d-5
i = 298.3998, pred = 1.0393967697763855d0, var = 1.7676581339924924d-5
i = 298.59982, pred = 1.0400400313009115d0, var = 1.7832932535389896d-5
i = 298.79984, pred = 1.0406702744137992d0, var = 1.798037474740152d-5
